19110,Buenos Aires,19,2.916667,-76.666667
52110,Buesaco,52,1.250000,-77.083334
76111,Buga,76,3.902223,-76.302778
76113,Bugalagrande,76,4.209445,-76.160278
05113,Burítica,05,6.750000,-75.916667
15114,Busbanza,15,5.916667,-72.850000
25120,Cabrera,25,3.978056,-74.485834
68121,Cabrera,68,6.633334,-73.200000
50124,Cabuyaro,50,4.290278,-72.790556
25123,Cachipay,25,5.266667,-74.566667
05125,Caicedo,05,6.450000,-75.966667
76122,Caicedonia,76,4.333660,-75.834246
70124,Caimito,70,8.833334,-75.166667
73124,Cajamarca,73,4.416667,-75.500000
19130,Cajibío,19,2.666667,-76.666667
25126,Cajicá,25,5.000000,-74.050000
13140,Calamar,13,10.250000,-75.000000
95015,Calamar,95,1.959723,-72.653889
63130,Calarcá,63,4.532500,-75.643612
05129,Caldas,05,6.083334,-75.633334
15131,Caldas,15,5.550000,-73.883334
19137,Caldono,19,2.833334,-76.416667
68132,California,68,7.416667,-72.850000
76126,Calima (Darién),76,3.916667,-76.666667
19142,Caloto,19,3.083334,-76.333334
76001,Calí,76,3.437223,-76.522500
05134,Campamento,05,7.083334,-75.250000
08137,Campo de la Cruz,08,10.416667,-74.916667
41132,Campoalegre,41,2.666667,-75.333334
15135,Campohermoso,15,5.083334,-73.000000
23090,Canalete,23,8.676112,-76.204167
08141,Candelaria,08,10.500000,-74.833334
76130,Candelaria,76,3.413056,-76.351112
13160,Cantagallo,13,7.379167,-73.918056
27135,Cantón de San Pablo,27,5.338889,-76.731389
25148,Caparrapí,25,5.416667,-74.583334
68147,Capitanejo,68,6.600000,-72.633334
05142,Caracolí,05,6.411945,-74.760556
05145,Caramanta,05,5.583334,-75.583334
68152,Carcasí,68,6.833334,-72.500000
05147,Carepa,05,7.766389,-76.661112
73148,Carmen de Apicalá,73,4.150000,-74.733334
25154,Carmen de Carupa,25,5.350278,-73.905278
05148,Carmen de Viboral,05,6.085000,-75.338612
27150,Carmen del Darién (CURBARADÓ),27,7.158000,-76.971000
05150,Carolina,05,6.800000,-75.250000
13001,Cartagena,13,10.399723,-75.514445
18150,Cartagena del Chairá,18,1.350000,-74.840000
76147,Cartago,76,4.746389,-75.911667
97161,Carurú,97,0.916667,-70.733334
73152,Casabianca,73,5.083334,-75.166667
50150,Castilla la Nueva,50,3.800000,-73.583334
05154,Caucasia,05,7.916667,-75.000000
05138,Cañasgordas,05,6.750000,-76.000000
68160,Cepita,68,6.833334,-72.916667
